,H_FTPct,H_EFGPct,H_ThreePARt,H_FTR,H_REBPct,H_BLKPct,H_AST_TOV_Ratio,A_FTPct,A_EFGPct,A_ThreePARt,A_FTR,A_REBPct,A_BLKPct,A_AST_TOV_Ratio
1466,0.733,0.5666666666666667,0.3428571428571429,0.3779644730092272,0.57,0.27888667551135854,1.195311596914754,0.875,0.45,0.2777777777777778,0.6493358309501979,0.43,0.047619047619047616,1.0160118677733874
1467,0.688,0.5112359550561798,0.2696629213483146,0.423999152002544,0.4646464646464646,0.317999364001908,1.1129071522953613,0.792,0.4157303370786517,0.25842696629213485,0.7206183364926947,0.5353535353535354,0.07865168539325842,1.0427753223983065
1468,0.65,0.51875,0.325,0.5,0.5454545454545454,0.19127301391900145,1.122462048309373,0.667,0.4573170731707317,0.5609756097560976,0.6185030540247987,0.4545454545454545,0.075,0.9606033751847531
1469,0.6920000000000001,0.4846938775510204,0.3775510204081632,0.5150787536377128,0.41935483870967744,0.18569533817705183,1.1800324784021132,0.6,0.5919540229885057,0.4252873563218391,0.7663029554391028,0.5806451612903226,0.08163265306122447,1.0827318578482905
1470,0.682,0.42268041237113396,0.3402061855670103,0.47623956546190094,0.4651162790697674,0.11470786693528089,1.164993050750713,0.7140000000000001,0.7171052631578947,0.34210526315789475,0.7250224017489714,0.5348837209302325,0.061855670103092786,1.164993050750713
1471,0.625,0.4444444444444444,0.31313131313131315,0.2842676218074806,0.4907407407407408,0.20100756305184245,1.210284412995333,0.75,0.5555555555555556,0.42424242424242425,0.5900468726392808,0.5092592592592593,0.0707070707070707,1.2848982934253252
1472,0.867,0.4777777777777778,0.4,0.408248290463863,0.4895833333333333,0.21320071635561044,1.0439081620614667,0.938,0.5113636363636364,0.5340909090909091,0.6529942057256105,0.5104166666666666,0.05555555555555555,1.0090519266692546
1473,0.769,0.6055555555555555,0.3888888888888889,0.380058475033046,0.5806451612903226,0.26413527189768715,1.088866888787003,0.875,0.3779069767441861,0.22093023255813954,0.6567580169390805,0.41935483870967744,0.03333333333333333,0.9885670467493973
1474,0.8,0.5843373493975904,0.3614457831325301,0.490880693673816,0.5368421052631579,0.18569533817705183,1.0814837471201988,0.815,0.4540229885057471,0.3793103448275862,0.7463819494944633,0.4631578947368421,0.012048192771084338,1.0545093860581127
1475,0.9329999999999999,0.6097560975609756,0.5121951219512195,0.42769946138415077,0.4634146341463415,0.33520076157699547,1.111177680660126,0.583,0.5505617977528089,0.3146067415730337,0.605965375922802,0.5365853658536586,0.07317073170731707,1.053666788095227
1476,0.769,0.40963855421686746,0.3132530120481928,0.5596901035825028,0.4770642201834863,0.23063280200722128,1.1063016814330802,0.722,0.3670212765957447,0.35106382978723405,0.661509617839139,0.5229357798165137,0.024096385542168683,0.9153598229860741
1477,0.76,0.5064102564102564,0.38461538461538464,0.5661385170722979,0.4074074074074074,0.1516196087157807,1.39385277597163,1.0,0.5977011494252874,0.4482758620689655,0.46305777929709696,0.5925925925925926,0.0641025641025641,1.2009369551760027
1478,0.42100000000000004,0.4693877551020408,0.17346938775510204,0.44031528592635544,0.5495495495495496,0.2513123449750173,1.1041964228652112,0.7,0.5210526315789473,0.3157894736842105,0.6773709971213143,0.4504504504504505,0.1020408163265306,1.301358079780641
