,H_FTPct,H_EFGPct,H_ThreePARt,H_FTR,H_REBPct,H_BLKPct,H_AST_TOV_Ratio,A_FTPct,A_EFGPct,A_ThreePARt,A_FTR,A_REBPct,A_BLKPct,A_AST_TOV_Ratio,Target
3773,0.8079999999999999,0.5592105263157895,0.4342105263157895,0.34210526315789475,0.5066666666666667,0.039473684210526314,1.3333333333333333,0.7929999999999999,0.5526315789473685,0.34210526315789475,0.3815789473684211,0.49333333333333335,0.039473684210526314,2.2,0
3774,0.75,0.4550561797752809,0.2696629213483146,0.2696629213483146,0.5053763440860215,0.10465116279069768,2.375,0.667,0.4767441860465117,0.2558139534883721,0.1744186046511628,0.4946236559139785,0.06741573033707865,1.7692307692307692,1
3775,0.818,0.6467391304347826,0.2608695652173913,0.11956521739130435,0.5581395348837209,0.07954545454545454,2.3333333333333335,0.5,0.4375,0.3181818181818182,0.1590909090909091,0.4418604651162791,0.05434782608695652,1.1666666666666667,1
3776,0.929,0.5064102564102564,0.32051282051282054,0.35897435897435903,0.5194805194805194,0.03614457831325301,2.2222222222222223,0.7859999999999999,0.5240963855421686,0.2891566265060241,0.1686746987951807,0.4805194805194805,0.0641025641025641,1.3571428571428572,1
3777,0.75,0.3977272727272727,0.2727272727272727,0.2272727272727273,0.37209302325581395,0.02247191011235955,3.142857142857143,0.667,0.6348314606741573,0.3258426966292135,0.1348314606741573,0.627906976744186,0.03409090909090909,1.8666666666666667,0
3778,0.933,0.4715909090909091,0.3181818181818182,0.17045454545454544,0.46875,0.10227272727272728,1.9230769230769231,0.8,0.4090909090909091,0.29545454545454547,0.2840909090909091,0.53125,0.11363636363636363,1.5714285714285714,1
3779,0.8240000000000001,0.5052083333333334,0.1875,0.17708333333333334,0.5975609756097561,0.04819277108433735,2.5833333333333335,0.5,0.6024096385542169,0.3132530120481928,0.12048192771084335,0.4024390243902439,0.010416666666666666,1.6666666666666667,1
3780,0.563,0.4855769230769231,0.2980769230769231,0.15384615384615385,0.5684210526315789,0.045454545454545456,1.375,0.84,0.6079545454545454,0.42045454545454547,0.2840909090909091,0.43157894736842106,0.0673076923076923,2.272727272727273,0
3781,0.619,0.4882352941176471,0.23529411764705882,0.2470588235294117,0.45977011494252873,0.045454545454545456,1.9090909090909092,0.875,0.5681818181818182,0.2727272727272727,0.18181818181818185,0.5402298850574713,0.08235294117647059,3.0,0
3782,0.8,0.5465116279069767,0.36046511627906974,0.3488372093023256,0.5,0.06818181818181818,1.7333333333333334,0.917,0.5227272727272727,0.3181818181818182,0.2727272727272727,0.5,0.06976744186046512,1.7857142857142858,1
3783,0.7,0.4263157894736842,0.3368421052631579,0.10526315789473684,0.4946236559139785,0.07692307692307693,2.4,0.6920000000000001,0.5576923076923077,0.3333333333333333,0.3333333333333333,0.5053763440860215,0.031578947368421054,2.4,0
3784,0.636,0.5375,0.25,0.4125,0.4625,0.04938271604938271,1.8,0.889,0.5493827160493827,0.13580246913580246,0.2222222222222222,0.5375,0.0375,1.3888888888888888,1
3785,0.846,0.6144578313253012,0.3493975903614458,0.1566265060240964,0.4888888888888889,0.053763440860215055,2.5,0.588,0.3763440860215054,0.27956989247311825,0.1827956989247312,0.5111111111111111,0.024096385542168676,1.0,1
3786,0.813,0.4494382022471911,0.449438202247191,0.1797752808988764,0.45454545454545453,0.1125,1.1764705882352942,0.828,0.54375,0.425,0.3625,0.5454545454545454,0.11235955056179775,1.2777777777777777,0
3787,0.71,0.5067567567567568,0.24324324324324326,0.4189189189189189,0.4875,0.06976744186046512,2.4,0.778,0.4244186046511628,0.36046511627906974,0.20930232558139536,0.5125,0.02702702702702703,1.6363636363636365,1
3788,0.7440000000000001,0.4710144927536232,0.34782608695652173,0.5652173913043478,0.43373493975903615,0.033707865168539325,0.6666666666666666,0.667,0.5449438202247191,0.34831460674157305,0.2696629213483146,0.5662650602409639,0.043478260869565216,3.0,0
3789,0.784,0.4711538461538462,0.4230769230769231,0.3557692307692308,0.4909090909090909,0.06481481481481481,1.8235294117647058,0.733,0.5092592592592593,0.4074074074074074,0.2777777777777778,0.509090909090909,0.038461538461538464,1.368421052631579,0
3790,0.7859999999999999,0.4620253164556962,0.22784810126582278,0.35443037974683544,0.48148148148148145,0.12162162162162163,1.8,0.71,0.4864864864864865,0.32432432432432434,0.4189189189189189,0.5185185185185185,0.11392405063291139,0.8823529411764706,1
3791,0.765,0.6643835616438356,0.410958904109589,0.2328767123287671,0.43661971830985913,0.09302325581395349,2.1818181818181817,0.789,0.5581395348837209,0.22093023255813954,0.22093023255813954,0.5633802816901409,0.0273972602739726,2.6666666666666665,0
3792,0.95,0.521978021978022,0.46153846153846156,0.21978021978021972,0.38823529411764707,0.034482758620689655,5.2,0.762,0.603448275862069,0.22988505747126436,0.2413793103448276,0.611764705882353,0.08791208791208792,2.5454545454545454,0
3793,0.759,0.3736263736263736,0.23076923076923078,0.31868131868131866,0.4339622641509434,0.13580246913580246,1.5714285714285714,0.6829999999999999,0.41975308641975306,0.09876543209876543,0.5061728395061729,0.5660377358490566,0.03296703296703297,0.7391304347826086,0
3794,0.7859999999999999,0.4935064935064935,0.38961038961038963,0.18181818181818185,0.46835443037974683,0.04225352112676056,1.4545454545454546,0.708,0.5422535211267606,0.2676056338028169,0.3380281690140845,0.5316455696202531,0.07792207792207792,1.4545454545454546,0
3795,0.625,0.456043956043956,0.24175824175824176,0.2637362637362637,0.5339805825242718,0.07526881720430108,1.4736842105263157,0.5770000000000001,0.489247311827957,0.25806451612903225,0.27956989247311825,0.46601941747572817,0.07692307692307693,4.333333333333333,0
3796,0.821,0.4675324675324675,0.24675324675324675,0.5064935064935064,0.5063291139240507,0.054945054945054944,1.1333333333333333,0.733,0.521978021978022,0.3516483516483517,0.16483516483516486,0.4936708860759494,0.03896103896103896,1.8461538461538463,0
3797,0.71,0.5473684210526316,0.3157894736842105,0.3263157894736842,0.49473684210526314,0.04081632653061224,2.1538461538461537,0.654,0.5,0.2857142857142857,0.2653061224489796,0.5052631578947369,0.031578947368421054,2.272727272727273,1
3798,0.76,0.5056179775280899,0.23595505617977527,0.2808988764044944,0.5061728395061729,0.0449438202247191,1.0,0.8,0.5561797752808989,0.2808988764044944,0.11235955056179776,0.49382716049382713,0.06741573033707865,1.0,1
3799,0.895,0.6063829787234043,0.3404255319148936,0.20212765957446807,0.5555555555555556,0.027777777777777776,4.833333333333333,0.8859999999999999,0.5416666666666666,0.19444444444444445,0.4861111111111111,0.4444444444444444,0.0425531914893617,1.2666666666666666,1
3800,0.848,0.6666666666666666,0.463768115942029,0.4782608695652174,0.589041095890411,0.04878048780487805,1.2777777777777777,0.846,0.5060975609756098,0.32926829268292684,0.3170731707317073,0.410958904109589,0.014492753623188406,1.1428571428571428,1
3801,0.667,0.4951923076923077,0.36538461538461536,0.3461538461538461,0.4909090909090909,0.027522935779816515,1.6923076923076923,0.773,0.481651376146789,0.3669724770642202,0.2018348623853211,0.509090909090909,0.028846153846153848,1.5,1
3802,0.857,0.4551282051282051,0.34615384615384615,0.2692307692307692,0.47619047619047616,0.05434782608695652,1.6153846153846154,0.909,0.5543478260869565,0.30434782608695654,0.11956521739130435,0.5238095238095238,0.05128205128205128,1.9090909090909092,0
3803,0.826,0.5755813953488372,0.22093023255813954,0.26744186046511625,0.5512820512820513,0.08,1.588235294117647,0.742,0.52,0.52,0.4133333333333333,0.44871794871794873,0.06976744186046512,0.8947368421052632,1
3804,0.84,0.4772727272727273,0.3522727272727273,0.2840909090909091,0.5346534653465347,0.034482758620689655,3.0,0.5,0.4540229885057471,0.3448275862068966,0.206896551724138,0.46534653465346537,0.056818181818181816,2.1666666666666665,1
3805,0.846,0.4013157894736841,0.2631578947368421,0.34210526315789475,0.5294117647058824,0.046511627906976744,1.0555555555555556,0.917,0.4883720930232558,0.1744186046511628,0.13953488372093026,0.47058823529411764,0.05263157894736842,1.9230769230769231,0
3806,0.852,0.6554054054054054,0.3783783783783784,0.3648648648648649,0.5128205128205128,0.054945054945054944,2.875,0.727,0.46703296703296704,0.32967032967032966,0.24175824175824176,0.48717948717948717,0.08108108108108109,2.0,1
3807,0.792,0.5058823529411764,0.4117647058823529,0.2823529411764706,0.45054945054945056,0.11764705882352941,1.7857142857142858,0.7,0.4647058823529412,0.3411764705882353,0.35294117647058826,0.5494505494505495,0.047058823529411764,1.1111111111111112,1
3808,0.462,0.4438202247191011,0.3258426966292135,0.14606741573033707,0.47191011235955055,0.04878048780487805,1.75,0.742,0.4939024390243902,0.3170731707317073,0.3780487804878049,0.5280898876404494,0.0449438202247191,1.8461538461538463,0
3809,0.688,0.5125,0.375,0.4,0.5061728395061729,0.024096385542168676,1.8461538461538463,0.8079999999999999,0.5481927710843374,0.3253012048192771,0.3132530120481928,0.49382716049382713,0.0375,2.888888888888889,0
3810,0.96,0.4876543209876543,0.2345679012345679,0.30864197530864196,0.48148148148148145,0.02531645569620253,1.8571428571428572,0.8240000000000001,0.5316455696202531,0.22784810126582278,0.4303797468354431,0.5185185185185185,0.037037037037037035,1.5833333333333333,0
3811,0.893,0.42857142857142855,0.2087912087912088,0.3076923076923077,0.43010752688172044,0.11956521739130435,4.0,0.667,0.5434782608695652,0.2391304347826087,0.1956521739130435,0.5698924731182796,0.07692307692307693,1.7857142857142858,0
3812,0.8059999999999999,0.6298701298701299,0.24675324675324675,0.4025974025974026,0.525,0.09302325581395349,1.8333333333333333,0.6920000000000001,0.5,0.3953488372093023,0.1511627906976744,0.475,0.05194805194805195,1.9285714285714286,1
3813,0.8079999999999999,0.4705882352941176,0.29411764705882354,0.3058823529411765,0.5268817204301075,0.07526881720430108,0.9565217391304348,0.615,0.4247311827956989,0.22580645161290322,0.27956989247311825,0.4731182795698925,0.047058823529411764,1.0,1
3814,0.929,0.5287356321839081,0.45977011494252873,0.16091954022988506,0.4827586206896552,0.011627906976744186,1.2666666666666666,0.773,0.6104651162790697,0.26744186046511625,0.2558139534883721,0.5172413793103449,0.034482758620689655,1.8461538461538463,0
3815,0.85,0.4805194805194805,0.35064935064935066,0.2597402597402597,0.5227272727272727,0.03896103896103896,1.5833333333333333,0.889,0.4220779220779221,0.2597402597402597,0.23376623376623376,0.4772727272727273,0.03896103896103896,1.3076923076923077,1
3816,0.857,0.4619565217391304,0.20652173913043478,0.07608695652173914,0.5652173913043478,0.05714285714285714,2.0,0.815,0.3428571428571429,0.34285714285714286,0.3857142857142857,0.43478260869565216,0.043478260869565216,0.55,1
3817,0.85,0.4842105263157895,0.21052631578947367,0.21052631578947367,0.5824175824175825,0.022727272727272728,2.2222222222222223,0.4,0.5113636363636364,0.3977272727272727,0.11363636363636365,0.4175824175824176,0.06315789473684211,2.0833333333333335,1
3818,0.765,0.4510869565217392,0.30434782608695654,0.18478260869565216,0.46464646464646464,0.05813953488372093,3.4285714285714284,0.7,0.5232558139534884,0.27906976744186046,0.2325581395348837,0.5353535353535354,0.06521739130434782,2.1818181818181817,0
3819,0.7,0.5489130434782609,0.3695652173913043,0.10869565217391304,0.5208333333333334,0.05434782608695652,1.8125,0.857,0.4782608695652174,0.43478260869565216,0.3043478260869565,0.4791666666666667,0.03260869565217391,2.111111111111111,0
