,PTS,FGM,FGA,FGPerc,3PM,3PA,3PPerc,FTM,FTA,FTPerc,OREB,DREB,REB,AST,STL,BLK,TOV,PF,EFGPerc,FTR
134,82.0,30.0,81.0,37.0,9.0,34.0,26.5,13.0,24.0,54.2,12.0,33.0,45.0,17.0,2.0,4.0,17.0,18.0,0.4259259259259259,0.2962962962962963
135,114.0,42.0,90.0,46.7,13.0,32.0,40.6,17.0,21.0,81.0,7.0,37.0,44.0,17.0,9.0,6.0,12.0,27.0,0.5388888888888889,0.2333333333333333
136,105.0,39.0,86.0,45.3,5.0,18.0,27.8,22.0,25.0,88.0,11.0,39.0,50.0,20.0,3.0,3.0,10.0,20.0,0.4825581395348838,0.2906976744186047
137,111.0,42.0,87.0,48.3,11.0,35.0,31.4,16.0,17.0,94.1,6.0,36.0,42.0,25.0,10.0,5.0,7.0,23.0,0.5459770114942529,0.19540229885057472
138,123.0,43.0,90.0,47.8,15.0,36.0,41.7,22.0,29.0,75.9,12.0,20.0,32.0,20.0,3.0,2.0,14.0,24.0,0.5611111111111111,0.32222222222222224
139,131.0,40.0,75.0,53.3,11.0,28.0,39.3,33.0,43.0,88.9,7.0,31.0,38.0,31.0,11.0,6.0,22.0,31.0,0.6066666666666667,0.5312500000000001
140,135.0,48.0,85.0,56.5,14.0,31.0,45.2,25.0,31.0,80.6,8.0,26.0,34.0,34.0,14.0,1.0,19.0,32.0,0.6470588235294118,0.3647058823529412
141,139.0,52.5,98.0,56.1,9.0,23.0,39.1,26.0,32.0,81.3,15.0,34.0,49.0,29.0,8.0,3.0,12.0,23.0,0.6071428571428571,0.32653061224489793
142,84.0,28.0,77.0,36.4,10.0,28.0,35.7,18.0,22.0,81.8,7.0,48.0,55.0,18.0,8.0,2.0,17.0,20.0,0.42857142857142855,0.2857142857142857
143,86.0,35.0,92.0,38.0,8.0,27.0,29.6,8.0,13.0,61.5,7.0,39.0,46.0,22.0,7.0,2.0,13.0,21.0,0.4239130434782609,0.14130434782608695
144,122.0,48.0,95.0,50.5,15.0,41.0,36.6,11.0,12.0,91.7,8.0,34.0,42.0,25.0,6.0,6.0,10.0,20.0,0.5842105263157895,0.1263157894736842
145,74.0,28.0,84.0,33.3,6.0,27.0,22.2,12.0,21.0,57.1,9.0,33.0,42.0,22.0,8.0,5.0,13.0,20.0,0.3690476190476191,0.25
146,121.0,44.0,90.0,48.9,15.0,43.0,34.9,18.0,26.0,69.2,8.0,46.0,54.0,31.0,7.0,8.0,10.0,16.0,0.5722222222222222,0.2888888888888889
147,99.0,37.0,93.0,39.8,5.0,33.0,15.2,20.0,23.0,87.0,18.0,31.0,49.0,18.0,10.0,4.0,16.0,26.0,0.4247311827956989,0.24731182795698925
148,104.0,36.0,86.0,41.9,11.0,25.0,44.0,21.0,27.0,77.8,13.0,35.0,48.0,14.0,8.0,9.0,18.0,17.0,0.4825581395348838,0.313953488372093
