,H_FTPct,H_EFGPct,H_ThreePARt,H_FTR,H_REBPct,H_BLKPct,H_AST_TOV_Ratio,Target
71,0.818,0.42857142857142855,0.3636363636363637,0.2857142857142857,0.5670103092783505,0.023809523809523808,1.0588235294117647,1
72,0.917,0.5842105263157895,0.43157894736842106,0.1263157894736842,0.5060240963855421,0.07792207792207792,2.5,1
73,0.6920000000000001,0.5722222222222222,0.4777777777777778,0.2888888888888889,0.54,0.08695652173913042,3.1,1
74,0.778,0.4825581395348838,0.2906976744186047,0.313953488372093,0.4948453608247423,0.0967741935483871,0.7777777777777778,1
75,0.667,0.4545454545454545,0.3181818181818182,0.2727272727272727,0.4946236559139785,0.03614457831325301,2.5,0
76,0.85,0.5652173913043478,0.32608695652173914,0.21739130434782608,0.5744680851063829,0.14736842105263154,1.4761904761904765,1
77,0.69,0.4244186046511628,0.2906976744186047,0.4883720930232558,0.5263157894736842,0.125,1.5384615384615383,0
78,0.643,0.5227272727272727,0.4090909090909091,0.1590909090909091,0.4838709677419355,0.04444444444444445,1.9166666666666667,0
79,0.816,0.5,0.3980582524271845,0.36893203883495146,0.5865384615384616,0.07142857142857142,1.7058823529411764,0
80,0.857,0.4692982456140351,0.5087719298245614,0.06140350877192983,0.5573770491803278,0.030612244897959183,2.4166666666666665,1
81,0.889,0.5769230769230769,0.3717948717948718,0.3461538461538461,0.4507042253521127,0.045454545454545456,2.625,0
82,0.647,0.5057471264367817,0.3793103448275862,0.19540229885057472,0.5638297872340425,0.04395604395604396,1.9166666666666667,1
83,0.767,0.5660377358490566,0.2641509433962264,0.2830188679245283,0.4770642201834863,0.04716981132075472,2.833333333333333,1
84,0.833,0.5969387755102041,0.4693877551020408,0.1836734693877551,0.5568181818181818,0.0,2.272727272727273,1
85,0.7140000000000001,0.505,0.46,0.21,0.5,0.010101010101010102,1.9285714285714288,0
86,0.72,0.46103896103896097,0.3896103896103896,0.3246753246753247,0.3707865168539326,0.05882352941176471,2.090909090909091,0
87,0.6,0.6236559139784946,0.27956989247311825,0.16129032258064516,0.5465116279069767,0.10526315789473684,5.0,1
88,0.727,0.6593406593406593,0.2637362637362637,0.24175824175824176,0.5569620253164557,0.02083333333333333,1.5833333333333333,1
89,0.833,0.5113636363636364,0.2727272727272727,0.20454545454545456,0.5578947368421052,0.02197802197802198,2.2,1
90,0.655,0.4036144578313253,0.26506024096385544,0.3493975903614458,0.4504504504504505,0.04301075268817205,2.0,0
91,0.75,0.5112359550561798,0.33707865168539325,0.0898876404494382,0.5256410256410257,0.02564102564102564,1.7142857142857142,0
92,0.815,0.5384615384615384,0.4395604395604396,0.2967032967032967,0.6274509803921569,0.06818181818181818,1.3333333333333333,1
93,0.7140000000000001,0.4545454545454545,0.3863636363636364,0.3181818181818182,0.4819277108433735,0.05797101449275361,1.7777777777777777,1
94,0.647,0.4787234042553192,0.30851063829787234,0.18085106382978725,0.53125,0.06666666666666668,1.7058823529411764,0
95,0.7390000000000001,0.603448275862069,0.3103448275862069,0.26436781609195403,0.4888888888888889,0.1020408163265306,2.071428571428572,1
96,0.7859999999999999,0.489010989010989,0.4615384615384616,0.15384615384615385,0.39325842696629215,0.10227272727272728,2.1666666666666665,0
97,0.6,0.4898989898989899,0.3333333333333333,0.101010101010101,0.42,0.011235955056179777,2.9,0
98,0.8,0.5,0.4270833333333333,0.2083333333333333,0.5714285714285714,0.022727272727272728,1.6666666666666667,1
