,PTS,FGM,FGA,FGPerc,3PM,3PA,3PPerc,FTM,FTA,FTPerc,OREB,DREB,REB,AST,STL,BLK,TOV,PF,EFGPerc,FTR,Target
172,89,31,77,40.3,9,30,30,18,25,72,4,29,33,23,7,5,11,17,0.461038961038961,0.3246753246753247,0
173,127,48,99,48.5,23,54,42.6,8,13,61.5,9,44,53,40,7,3,12,20,0.601010101010101,0.13131313131313133,1
174,122,48,88,54.5,11,30,36.7,15,20,75,9,30,39,24,5,2,6,19,0.6079545454545454,0.22727272727272727,1
175,125,52,93,55.9,12,26,46.2,9,15,60,9,38,47,30,4,10,6,11,0.6236559139784946,0.16129032258064516,1
176,136,53,91,58.2,14,24,58.3,16,22,72.7,14,30,44,19,5,2,12,17,0.6593406593406593,0.24175824175824176,1
177,131,50,96,52.1,18,43,41.9,13,16,81.3,12,23,35,25,5,1,10,17,0.6145833333333334,0.16666666666666666,0
178,105,41,88,46.6,8,24,33.3,15,18,83.3,8,45,53,22,6,2,10,14,0.5113636363636364,0.20454545454545456,1
179,137,47,106,44.3,14,35,40,29,33,87.9,17,40,57,31,8,11,17,24,0.5094339622641509,0.3113207547169811,0
180,116,45,99,45.5,15,44,34.1,11,23,47.8,13,37,50,27,10,3,5,17,0.5303030303030303,0.23232323232323232,1
181,124,45,78,57.7,22,44,50,12,17,70.6,5,32,37,35,8,7,10,13,0.717948717948718,0.21794871794871795,1
182,86,30,83,36.1,7,22,31.8,19,29,65.5,6,44,50,14,7,4,7,18,0.4036144578313253,0.3493975903614458,0
183,97,40,89,44.9,11,30,36.7,6,8,75,14,27,41,24,3,2,14,18,0.5112359550561798,0.0898876404494382,0
184,120,41,91,45.1,16,40,40,22,27,81.5,18,46,64,28,6,6,21,24,0.5384615384615384,0.2967032967032967,1
185,108,41,88,46.6,12,25,48,14,22,63.6,3,28,31,24,9,3,7,28,0.5340909090909091,0.25,0
186,100,35,88,39.8,10,34,29.4,20,28,71.4,14,26,40,16,13,4,9,21,0.45454545454545453,0.3181818181818182,1
187,112,43,89,48.3,12,30,40,14,21,66.7,11,47,58,25,8,3,14,17,0.550561797752809,0.23595505617977527,1
188,111,38,88,43.2,18,53,34,17,20,85,9,33,42,18,7,7,11,21,0.5340909090909091,0.22727272727272727,0
189,101,40,94,42.6,10,29,34.5,11,17,64.7,17,34,51,29,6,6,17,19,0.4787234042553192,0.18085106382978725,0
190,93,33,69,47.8,10,24,41.7,17,21,81,7,36,43,19,4,6,21,24,0.5507246376811594,0.30434782608695654,0
191,122,46,87,52.9,13,27,48.1,17,23,73.9,7,37,44,29,6,10,14,18,0.603448275862069,0.26436781609195403,1
192,100,38,91,41.8,13,42,31,11,14,78.6,5,30,35,26,10,9,12,16,0.489010989010989,0.15384615384615385,0
193,103,44,99,44.4,9,33,27.3,6,10,60,7,35,42,29,9,1,10,15,0.4898989898989899,0.10101010101010101,0
194,96,37,93,39.8,14,40,35,8,13,61.5,11,50,61,17,0,10,9,16,0.4731182795698925,0.13978494623655913,1
195,112,40,96,41.7,16,41,39,16,20,80,18,38,56,20,5,2,12,19,0.5,0.20833333333333334,1
196,99,40,98,40.8,5,25,20,14,16,87.5,11,35,46,22,11,0,14,19,0.4336734693877551,0.16326530612244897,0
197,109,38,88,43.2,13,35,37.1,20,28,71.4,5,33,38,21,13,6,14,22,0.5056818181818182,0.3181818181818182,0
198,104,37,90,41.1,11,37,29.7,19,22,86.4,11,34,45,18,8,10,12,14,0.4722222222222222,0.24444444444444444,1
199,120,46,88,52.3,16,37,43.2,12,17,70.6,7,47,54,24,10,5,18,17,0.6136363636363636,0.19318181818181818,1
200,118,41,78,52.6,10,27,37,26,34,76.5,9,39,48,24,5,5,15,21,0.5897435897435898,0.4358974358974359,1
201,110,41,97,42.3,14,39,35.9,14,18,77.8,13,45,58,28,2,3,15,18,0.4948453608247423,0.18556701030927836,0
202,107,40,100,40,17,45,37.8,10,19,52.6,9,39,48,25,2,3,11,28,0.485,0.19,0
203,108,40,88,45.5,11,36,30.6,17,22,77.3,17,35,52,23,7,4,15,13,0.5170454545454546,0.25,1
204,108,42,89,47.2,12,31,38.7,12,14,85.7,6,33,39,28,9,4,13,19,0.5393258426966292,0.15730337078651685,0
205,104,38,88,43.2,10,31,32.3,18,23,78.3,8,36,44,23,5,3,5,13,0.48863636363636365,0.26136363636363635,1
206,90,31,79,39.2,8,29,27.6,20,27,74.1,10,25,35,16,14,1,17,16,0.4430379746835443,0.34177215189873417,0
207,129,45,98,45.9,12,41,29.3,27,34,79.4,11,40,51,31,4,5,6,23,0.5204081632653061,0.3469387755102041,1
208,108,42,95,44.2,13,33,39.4,11,20,55,12,30,42,24,9,4,10,26,0.5105263157894737,0.21052631578947367,0
209,91,34,92,37,10,41,24.4,13,15,86.7,18,37,55,20,3,7,9,18,0.42391304347826086,0.16304347826086957,0
210,131,53,97,54.6,12,37,32.4,13,15,86.7,11,37,48,34,16,8,9,22,0.6082474226804123,0.15463917525773196,1
211,149,53,100,53,27,57,47.4,16,21,76.2,12,40,52,34,12,5,9,16,0.665,0.21,1
212,96,41,85,48.2,10,27,37,4,7,57.1,5,28,33,27,6,3,13,18,0.5411764705882353,0.08235294117647059,0
213,104,38,79,48.1,10,19,52.6,18,29,62.1,6,33,39,26,7,4,20,22,0.5443037974683544,0.3670886075949367,0
214,113,46,89,51.7,7,25,28,14,21,66.7,16,33,49,28,5,5,16,21,0.5561797752808989,0.23595505617977527,1
215,127,42,98,42.9,19,44,43.2,24,28,85.7,10,43,53,32,4,4,7,24,0.5255102040816326,0.2857142857142857,0
216,109,41,100,41,13,34,38.2,14,19,73.7,12,43,55,27,5,2,11,22,0.475,0.19,0
217,115,40,91,44,9,41,22,26,34,76.5,11,50,61,19,8,10,14,23,0.489010989010989,0.37362637362637363,1
218,126,46,85,54.1,10,23,43.5,24,29,82.8,6,26,32,29,9,5,13,24,0.6,0.3411764705882353,0
219,133,52,101,51.5,19,42,45.2,10,12,83.3,14,41,55,28,4,11,15,16,0.6089108910891089,0.1188118811881188,1
