,TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FGPerc,3PM,3PA,ThreePPerc,FTM,FTA,FTPerc,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/,EFGPerc,FTR,TOVPerc
156,SAS,4/13/19,SAS @ DEN,W,240,101,40,83,48.2,7,15,46.7,14,20,70.0,10,37,47,20,4,4,11,17,5.0,0.5240963855421686,0.24096385542168675,10.700389105058367
161,CHI,4/10/19,CHI @ PHI,L,240,109,45,95,47.4,9,24,37.5,10,15,66.7,9,30,39,21,4,3,7,13,-16.0,0.5210526315789473,0.15789473684210525,6.445672191528545
162,DAL,4/10/19,DAL @ SAS,L,242,94,37,91,40.7,11,37,29.7,9,12,75.0,7,35,42,27,5,4,7,19,-11.0,0.46703296703296704,0.13186813186813187,6.777691711851277
164,DET,4/10/19,DET @ NYK,W,241,115,41,85,48.2,14,33,42.4,19,20,95.0,11,45,56,25,5,2,13,23,26.0,0.5647058823529412,0.23529411764705882,12.172284644194757
165,GSW,4/10/19,GSW @ MEM,L,239,117,46,92,50.0,13,30,43.3,12,14,85.7,9,30,39,32,3,5,14,17,-15.0,0.5706521739130435,0.15217391304347827,12.482168330955778
166,IND,4/10/19,IND @ ATL,W,239,135,45,98,45.9,12,30,40.0,33,39,84.6,13,30,43,22,12,7,8,28,1.0,0.5204081632653061,0.3979591836734694,6.495615459564793
169,MIA,4/10/19,MIA @ BKN,L,240,94,38,98,38.8,8,41,19.5,10,15,66.7,8,46,54,22,9,4,14,12,-19.0,0.42857142857142855,0.15306122448979592,11.804384485666105
171,MIN,4/10/19,MIN @ DEN,L,240,95,39,91,42.9,13,32,40.6,4,6,66.7,7,34,41,24,6,0,10,22,-4.0,0.5,0.06593406593406594,9.648784253184099
173,OKC,4/10/19,OKC @ MIL,W,240,127,48,99,48.5,23,54,42.6,8,13,61.5,9,44,53,40,7,3,12,20,11.0,0.601010101010101,0.13131313131313133,10.28101439342015
174,ORL,4/10/19,ORL @ CHA,W,240,122,48,88,54.5,11,30,36.7,15,20,75.0,9,30,39,24,5,2,6,19,8.0,0.6079545454545454,0.22727272727272727,5.836575875486381
177,SAC,4/10/19,SAC @ POR,L,240,131,50,96,52.1,18,43,41.9,13,16,81.3,12,23,35,25,5,1,10,17,-5.0,0.6145833333333334,0.16666666666666666,8.846426043878273
179,UTA,4/10/19,UTA @ LAC,L,266,137,47,106,44.3,14,35,40.0,29,33,87.9,17,40,57,31,8,11,17,24,-6.0,0.5094339622641509,0.3113207547169811,12.361838278068646
180,BOS,4/9/19,BOS @ WAS,W,239,116,45,99,45.5,15,44,34.1,11,23,47.8,13,37,50,27,10,3,5,17,6.0,0.5303030303030303,0.23232323232323232,4.381352961794602
181,CHA,4/9/19,CHA @ CLE,W,240,124,45,78,57.7,22,44,50.0,12,17,70.6,5,32,37,35,8,7,10,13,27.0,0.717948717948718,0.21794871794871795,10.473397570171764
185,DEN,4/9/19,DEN @ UTA,L,241,108,41,88,46.6,12,25,48.0,14,22,63.6,3,28,31,24,9,3,7,28,-10.0,0.5340909090909091,0.25,6.687046236148261
187,GSW,4/9/19,GSW @ NOP,W,241,112,43,89,48.3,12,30,40.0,14,21,66.7,11,47,58,25,8,3,14,17,9.0,0.550561797752809,0.23595505617977527,12.473271560940843
