TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/,,,,,,,,,,
POR,4/23/19,POR vs. OKC,W,240,118,45,96,46.9,13,35,37.1,15,23,65.2,13,32,45,22,8,5,9,18,3,,,,,,,,,,
SAS,4/23/19,SAS @ DEN,L,240,90,37,90,41.1,7,24,29.2,9,15,60,10,32,42,17,6,3,7,20,-18,,,,,,,,,,
TOR,4/23/19,TOR vs. ORL,W,240,115,41,85,48.2,15,36,41.7,18,21,85.7,8,40,48,34,8,3,14,30,19,,,,,,,,,,
DET,4/22/19,DET vs. MIL,L,240,104,41,100,41,13,34,38.2,9,12,75,10,26,36,26,8,1,10,31,-23,,,,,,,,,,
HOU,4/22/19,HOU @ UTA,L,241,91,28,79,35.4,17,46,37,18,24,75,9,26,35,14,9,4,15,23,-16,,,,,,,,,,
MIL,4/22/19,MIL @ DET,W,240,127,43,79,54.4,10,28,35.7,31,41,75.6,10,44,54,27,6,10,17,21,23,,,,,,,,,,
UTA,4/22/19,UTA vs. HOU,W,241,107,37,86,43,11,35,31.4,22,26,84.6,16,36,52,24,7,7,14,19,16,,,,,,,,,,
BOS,4/21/19,BOS @ IND,W,240,110,36,78,46.2,11,28,39.3,27,34,79.4,7,36,43,18,7,1,16,23,4,,,,,,,,,,
GSW,4/21/19,GSW @ LAC,W,239,113,42,89,47.2,12,31,38.7,17,19,89.5,11,38,49,27,5,2,13,27,8,,,,,,,,,,
IND,4/21/19,IND vs. BOS,L,240,106,36,88,40.9,10,28,35.7,24,28,85.7,11,32,43,18,5,2,12,25,-4,,,,,,,,,,
LAC,4/21/19,LAC vs. GSW,L,240,105,34,80,42.5,13,31,41.9,24,32,75,4,29,33,22,8,4,10,21,-8,,,,,,,,,,
OKC,4/21/19,OKC vs. POR,L,241,98,33,88,37.5,15,40,37.5,17,22,77.3,6,38,44,23,7,4,14,22,-13,,,,,,,,,,
ORL,4/21/19,ORL vs. TOR,L,241,85,34,81,42,7,33,21.2,10,13,76.9,7,27,34,20,7,2,17,19,-22,,,,,,,,,,
POR,4/21/19,POR @ OKC,W,242,111,37,90,41.1,15,35,42.9,22,23,95.7,8,41,49,16,10,8,12,22,13,,,,,,,,,,
TOR,4/21/19,TOR @ ORL,W,241,107,40,75,53.3,11,28,39.3,16,18,88.9,7,38,45,23,11,6,14,20,22,,,,,,,,,,
BKN,4/20/19,BKN vs. PHI,L,240,108,36,90,40,12,38,31.6,24,31,77.4,12,29,41,23,10,4,14,26,-4,,,,,,,,,,
DEN,4/20/19,DEN @ SAS,W,239,117,40,89,44.9,15,31,48.4,22,24,91.7,11,34,45,25,4,2,7,22,14,,,,,,,,,,
DET,4/20/19,DET vs. MIL,L,240,103,37,96,38.5,11,36,30.6,18,24,75,15,29,44,21,9,6,9,24,-16,,,,,,,,,,
HOU,4/20/19,HOU @ UTA,W,240,104,33,86,38.4,15,45,33.3,23,34,67.6,9,43,52,19,11,4,13,25,3,,,,,,,,,,
MIL,4/20/19,MIL @ DET,W,240,119,42,86,48.8,14,38,36.8,21,24,87.5,13,38,51,24,5,6,15,22,16,,,,,,,,,,
PHI,4/20/19,PHI @ BKN,W,239,112,44,88,50,8,26,30.8,16,21,76.2,12,44,56,25,6,8,19,24,4,,,,,,,,,,
